,Phi,Theta,E_deloc,E_nonbond,E_hyd,E_tot,E_meth,norm_E_meth,new_E_nb,new_E_deloc
300,0,150,1.028969283099741,-2755.3460872558,-2755.3447772023,-2754.3171179727,0.0013100534999921365,0.0047217609999279375,-2755.3494989633,1.0323809905999042
285,5,150,1.0294775332004065,-2755.3461084989003,-2755.3437089544,-2754.3166309657,0.0023995445001219196,0.005130610399874058,-2755.3488395648,1.0322085991001586
175,10,150,1.0299645701998088,-2755.3451929179,-2755.3416272627,-2754.3152283477,0.0035656551999636577,0.005148974800022188,-2755.3467762375003,1.0315478898000947
346,15,150,1.030297728399546,-2755.3431873772997,-2755.3385223992,-2754.3128896489,0.004664978099981454,0.0048860300000797,-2755.3434084292003,1.030518780300099
103,20,150,1.0304788999997072,-2755.3400847605,-2755.3343979428,-2754.3096058605,0.005686817700052416,0.004562241600069683,-2755.3389601844,1.0293543238999519
4,25,150,1.0304964858000858,-2755.3358617696,-2755.3292539081,-2754.3053652838,0.006607861500015133,0.004378033100010725,-2755.3336319412,1.0282666574003088
44,30,150,1.0303477381999073,-2755.3304692435,-2755.3230545796,-2754.3001215053,0.0074146638999081915,0.004447626000001037,-2755.3275022056,1.0273807003000002
183,40,150,1.0294012150998242,-2755.3158446375,-2755.3073335261,-2754.2864434224,0.008511111399911897,0.0047579069998846535,-2755.3120914331002,1.0256480107000243
247,50,150,1.0283354432003762,-2755.2963855028,-2755.2867813627,-2754.2680500596,0.009604140100009317,0.005212561299913432,-2755.291993924,1.0239438644002803
121,60,150,1.0282457877001434,-2755.2722572659,-2755.2606807115,-2754.2440114782,0.011576554400107852,0.005686817700052416,-2755.2663675291997,1.0223560509998606
308,0,160,1.0280852559999403,-2755.3450721827,-2755.3442391572,-2754.3169869267,0.000833025500014628,0.006023337499982517,-2755.3502624946996,1.0332755679996808
257,5,160,1.0286151766999865,-2755.3451294128,-2755.3430186931,-2754.3165142361,0.0021107197001128952,0.006154586699949505,-2755.3491732798,1.0326590437002778
156,10,160,1.0291332433998832,-2755.344236899,-2755.3407643387,-2754.3151036556,0.003472560299996985,0.005992423399902691,-2755.3467567621,1.0316531065000163
332,15,160,1.0295075325002472,-2755.3422445199003,-2755.3374655519,-2754.3127369874,0.004778967999982342,0.005550148699967394,-2755.3430157006,1.0302787132000049
99,20,160,1.0297393115001796,-2755.3391452586,-2755.3331219211,-2754.3094059471,0.006023337499982517,0.004866168000035032,-2755.3379880891,1.0285821419997774
24,25,160,1.029814723999607,-2755.3349137784,-2755.327727819,-2754.3050990544,0.007185959399976127,0.00403500149991487,-2755.3317628204995,1.0266637660993183
60,30,160,1.029729788900113,-2755.329499689,-2755.3212444743,-2754.2997699001,0.008255214700056968,0.0031896010000309616,-2755.3244340753,1.024664175200087
210,40,160,1.0289336005998848,-2755.3148073626,-2755.3048599336,-2754.285873762,0.009947429000021657,0.002481405500020628,-2755.3073413391,1.0214675770998838
222,50,160,1.0280461135998848,-2755.2952731389,-2755.2835331751,-2754.2672270253,0.011739963800209807,0.0020530787999177846,-2755.2855862539,1.0183592285998202
127,60,160,1.028109563399994,-2755.2710501317,-2755.256545565,-2754.2429405683,0.014504566699997667,0.001966180800081929,-2755.2585117458,1.0155711775000782
290,0,170,1.0274751637998634,-2755.3441724658,-2755.3436867863,-2754.316697302,0.0004856794998886471,0.0022242216000449844,-2755.3459110079,1.0292137059000197
282,5,170,1.0280307824000374,-2755.3442555806,-2755.342380404,-2754.3162247982,0.0018751766001514625,0.0026521063998643513,-2755.3450325103995,1.028807712199523
154,10,170,1.0285791563001112,-2755.3433820152,-2755.3400290473,-2754.3148028589,0.00335296789990025,0.0031197005998819805,-2755.3431487479,1.0283458890003203
354,15,170,1.0289881947996946,-2755.34140219,-2755.3366212427,-2754.3124139952,0.00478094729987788,0.003489761799983171,-2755.3401110044997,1.0276970092995725
